"acc","accuracy","average_response_time","avg_rt","background","canvas_backend","clock_backend","color_backend","correct","correct_job_description","correct_new_1_sketchpad","correct_new_2_sketchpad","correct_new_keyboard_response","correct_participant_response","correct_showCV","correct_type","correct_y_n_response","count_break_screen","count_experiment","count_fixation_cross","count_getting_started","count_image","count_image_delay","count_instruction","count_job_description","count_new_1_inline_script","count_new_1_sketchpad","count_new_2_sketchpad","count_new_advanced_delay","count_new_inline_script","count_new_keyboard_response","count_new_logger","count_new_pygaze_init","count_new_pygaze_log","count_new_pygaze_start_recording","count_new_pygaze_stop_recording","count_new_sketchpad","count_participant_response","count_pygaze_log_image","count_pygaze_log_instruction","count_showCV","count_trial_loop","count_trial_sequence","count_welcome","count_y_n_response","datetime","delay_image_delay","delay_new_advanced_delay","description","disable_garbage_collection","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","fullscreen","height","image_file","key","keyboard_backend","live_row","live_row_trial_loop","logfile","mouse_backend","opensesame_codename","opensesame_version","repeat_cycle","response","response_instruction","response_job_description","response_new_1_sketchpad","response_new_2_sketchpad","response_new_keyboard_response","response_new_sketchpad","response_participant_response","response_showCV","response_time","response_time_instruction","response_time_job_description","response_time_new_1_sketchpad","response_time_new_2_sketchpad","response_time_new_keyboard_response","response_time_new_sketchpad","response_time_participant_response","response_time_showCV","response_time_welcome","response_time_y_n_response","response_welcome","response_y_n_response","round_decimals","sampler_backend","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","subject_nr","subject_parity","time_break_screen","time_experiment","time_fixation_cross","time_getting_started","time_image","time_image_delay","time_instruction","time_job_description","time_new_1_inline_script","time_new_1_sketchpad","time_new_2_sketchpad","time_new_advanced_delay","time_new_inline_script","time_new_keyboard_response","time_new_logger","time_new_pygaze_init","time_new_pygaze_log","time_new_pygaze_start_recording","time_new_pygaze_stop_recording","time_new_sketchpad","time_participant_response","time_pygaze_log_image","time_pygaze_log_instruction","time_showCV","time_trial_loop","time_trial_sequence","time_welcome","time_y_n_response","title","total_correct","total_response_time","total_responses","width"
"100","100","27131","27131","#3d3846","legacy","legacy","legacy","1","undefined","undefined","undefined","NA","1","NA","y","NA","0","0","0","0","0","NA","NA","0","0","0","0","NA","0","NA","0","0","0","0","0","NA","0","0","0","NA","0","0","NA","NA","Wed Aug 21 16:32:27 2024","NA","NA","The main experiment item","False","version_sorted_resumes_version3.osexp","C:\Users\yarbus\Desktop\Team Brownie","False","mono","False","18","no","white","no","yes","1080","qualified_pic_goodSort_emilia.png","space","legacy","0","0","C:/Users/yarbus/Desktop/Team Brownie/participants/subject-8/subject-8b.csv","legacy","Melodramatic Milgram","4.0.13","0","y","NA","space","space","space","NA","NA","y","NA","27131.0","NA","8586","1315","3059","NA","NA","27131","NA","NA","NA","NA","NA","2","legacy","1024","2","48000","-16","experiment","8","even","945614","848261","950533","NA","953090","NA","NA","934228","848298","942819","931163","NA","945614","NA","982427","848298","950151","944202","NA","NA","953091","980222","953033","NA","944135","944202","NA","NA","RESUME ","1","27131.0","1","1920"
"100","100","31914","31914","#3d3846","legacy","legacy","legacy","1","undefined","undefined","undefined","NA","1","NA","y","NA","1","0","1","0","1","NA","NA","0","0","0","0","NA","1","NA","1","0","1","1","1","NA","1","1","1","NA","0","1","NA","NA","Wed Aug 21 16:32:27 2024","NA","NA","The main experiment item","False","version_sorted_resumes_version3.osexp","C:\Users\yarbus\Desktop\Team Brownie","False","mono","False","18","no","white","no","yes","1080","qualified_noPic_badSort_viktor.png","space","legacy","1","1","C:/Users/yarbus/Desktop/Team Brownie/participants/subject-8/subject-8b.csv","legacy","Melodramatic Milgram","4.0.13","0","y","NA","space","space","space","NA","NA","y","NA","36698.0","NA","8586","1315","3059","NA","NA","36698","NA","NA","NA","NA","NA","2","legacy","1024","2","48000","-16","experiment","8","even","982896","848261","986783","NA","989331","NA","NA","934228","848298","942819","931163","NA","982896","NA","1028946","848298","986758","982887","982433","NA","989332","1026030","989283","NA","944135","982887","NA","NA","RESUME ","2","63829.0","2","1920"
"100","100","30116","30116","#3d3846","legacy","legacy","legacy","1","undefined","undefined","undefined","NA","1","NA","y","NA","2","0","2","0","2","NA","NA","0","0","0","0","NA","2","NA","2","0","2","2","2","NA","2","2","2","NA","0","2","NA","NA","Wed Aug 21 16:32:27 2024","NA","NA","The main experiment item","False","version_sorted_resumes_version3.osexp","C:\Users\yarbus\Desktop\Team Brownie","False","mono","False","18","no","white","no","yes","1080","qualified_noPic_badSort_rahul.png","space","legacy","2","2","C:/Users/yarbus/Desktop/Team Brownie/participants/subject-8/subject-8b.csv","legacy","Melodramatic Milgram","4.0.13","0","y","NA","space","space","space","NA","NA","y","NA","26519.0","NA","8586","1315","3059","NA","NA","26519","NA","NA","NA","NA","NA","2","legacy","1024","2","48000","-16","experiment","8","even","1029039","848261","1031444","NA","1033998","NA","NA","934228","848298","942819","931163","NA","1029039","NA","1062734","848298","1031415","1029030","1028948","NA","1033999","1060519","1033944","NA","944135","1029030","NA","NA","RESUME ","3","90348.0","3","1920"
"75","75","32022","32022","#3d3846","legacy","legacy","legacy","0","undefined","undefined","undefined","NA","0","NA","y","NA","3","0","3","0","3","NA","NA","0","0","0","0","NA","3","NA","3","0","3","3","3","NA","3","3","3","NA","0","3","NA","NA","Wed Aug 21 16:32:27 2024","NA","NA","The main experiment item","False","version_sorted_resumes_version3.osexp","C:\Users\yarbus\Desktop\Team Brownie","False","mono","False","18","no","white","no","yes","1080","qualified_noPic_badSort_david.png","space","legacy","3","3","C:/Users/yarbus/Desktop/Team Brownie/participants/subject-8/subject-8b.csv","legacy","Melodramatic Milgram","4.0.13","0","n","NA","space","space","space","NA","NA","n","NA","37742.0","NA","8586","1315","3059","NA","NA","37742","NA","NA","NA","NA","NA","2","legacy","1024","2","48000","-16","experiment","8","even","1062824","848261","1064139","NA","1066694","NA","NA","934228","848298","942819","931163","NA","1062824","NA","1107278","848298","1064110","1062815","1062737","NA","1066696","1104438","1066639","NA","944135","1062814","NA","NA","RESUME ","3","128090.0","4","1920"
"80","80","26932","26932","#3d3846","legacy","legacy","legacy","1","undefined","undefined","undefined","NA","1","NA","n","NA","4","0","4","0","4","NA","NA","0","0","0","0","NA","4","NA","4","0","4","4","4","NA","4","4","4","NA","0","4","NA","NA","Wed Aug 21 16:32:27 2024","NA","NA","The main experiment item","False","version_sorted_resumes_version3.osexp","C:\Users\yarbus\Desktop\Team Brownie","False","mono","False","18","no","white","no","yes","1080","unqualified_pic_goodSort_kare.png","space","legacy","4","4","C:/Users/yarbus/Desktop/Team Brownie/participants/subject-8/subject-8b.csv","legacy","Melodramatic Milgram","4.0.13","0","n","NA","space","space","space","NA","NA","n","NA","6572.0","NA","8586","1315","3059","NA","NA","6572","NA","NA","NA","NA","NA","2","legacy","1024","2","48000","-16","experiment","8","even","1107370","848261","1108369","NA","1110921","NA","NA","934228","848298","942819","931163","NA","1107370","NA","1118061","848298","1108342","1107360","1107280","NA","1110922","1117494","1110869","NA","944135","1107360","NA","NA","RESUME ","4","134662.0","5","1920"
"83","83","23989","23989","#3d3846","legacy","legacy","legacy","1","undefined","undefined","undefined","NA","1","NA","n","NA","5","0","5","0","5","NA","NA","0","0","0","0","NA","5","NA","5","0","5","5","5","NA","5","5","5","NA","0","5","NA","NA","Wed Aug 21 16:32:27 2024","NA","NA","The main experiment item","False","version_sorted_resumes_version3.osexp","C:\Users\yarbus\Desktop\Team Brownie","False","mono","False","18","no","white","no","yes","1080","unqualified_pic_badSort_tian.png","space","legacy","5","5","C:/Users/yarbus/Desktop/Team Brownie/participants/subject-8/subject-8b.csv","legacy","Melodramatic Milgram","4.0.13","0","n","NA","space","space","space","NA","NA","n","NA","9272.0","NA","8586","1315","3059","NA","NA","9272","NA","NA","NA","NA","NA","2","legacy","1024","2","48000","-16","experiment","8","even","1118148","848261","1123065","NA","1125622","NA","NA","934228","848298","942819","931163","NA","1118148","NA","1135700","848298","1123039","1118137","1118063","NA","1125622","1134895","1125565","NA","944135","1118137","NA","NA","RESUME ","5","143934.0","6","1920"
"85","85","21632","21632","#3d3846","legacy","legacy","legacy","1","undefined","undefined","undefined","NA","1","NA","n","NA","6","0","6","0","6","NA","NA","0","0","0","0","NA","6","NA","6","0","6","6","6","NA","6","6","6","NA","0","6","NA","NA","Wed Aug 21 16:32:27 2024","NA","NA","The main experiment item","False","version_sorted_resumes_version3.osexp","C:\Users\yarbus\Desktop\Team Brownie","False","mono","False","18","no","white","no","yes","1080","unqualified_pic_ badSort_maria.png","space","legacy","6","6","C:/Users/yarbus/Desktop/Team Brownie/participants/subject-8/subject-8b.csv","legacy","Melodramatic Milgram","4.0.13","0","n","NA","space","space","space","NA","NA","n","NA","7491.0","NA","8586","1315","3059","NA","NA","7491","NA","NA","NA","NA","NA","2","legacy","1024","2","48000","-16","experiment","8","even","1135785","848261","1137021","NA","1139578","NA","NA","934228","848298","942819","931163","NA","1135785","NA","1147628","848298","1136990","1135776","1135701","NA","1139579","1147070","1139521","NA","944135","1135776","NA","NA","RESUME ","6","151425.0","7","1920"
"75","75","25730","25730","#3d3846","legacy","legacy","legacy","0","undefined","undefined","undefined","NA","0","NA","n","NA","7","0","7","0","7","NA","NA","0","0","0","0","NA","7","NA","7","0","7","7","7","NA","7","7","7","NA","0","7","NA","NA","Wed Aug 21 16:32:27 2024","NA","NA","The main experiment item","False","version_sorted_resumes_version3.osexp","C:\Users\yarbus\Desktop\Team Brownie","False","mono","False","18","no","white","no","yes","1080","unqualified_noPic_goodSort_hans.png","space","legacy","7","7","C:/Users/yarbus/Desktop/Team Brownie/participants/subject-8/subject-8b.csv","legacy","Melodramatic Milgram","4.0.13","0","y","NA","space","space","space","NA","NA","y","NA","54422.0","NA","8586","1315","3059","NA","NA","54422","NA","NA","NA","NA","NA","2","legacy","1024","2","48000","-16","experiment","8","even","1147703","848261","1149084","NA","1151639","NA","NA","934228","848298","942819","931163","NA","1147703","NA","1210590","848298","1149056","1147694","1147629","NA","1151640","1206063","1151585","NA","944135","1147694","NA","NA","RESUME ","6","205847.0","8","1920"
"77","77","23365","23365","#3d3846","legacy","legacy","legacy","1","undefined","undefined","undefined","NA","1","NA","n","NA","8","0","8","0","8","NA","NA","0","0","0","0","NA","8","NA","8","0","8","8","8","NA","8","8","8","NA","0","8","NA","NA","Wed Aug 21 16:32:27 2024","NA","NA","The main experiment item","False","version_sorted_resumes_version3.osexp","C:\Users\yarbus\Desktop\Team Brownie","False","mono","False","18","no","white","no","yes","1080","unqualified_noPic_ badSort_leila.png","space","legacy","8","8","C:/Users/yarbus/Desktop/Team Brownie/participants/subject-8/subject-8b.csv","legacy","Melodramatic Milgram","4.0.13","0","n","NA","space","space","space","NA","NA","n","NA","4443.0","NA","8586","1315","3059","NA","NA","4443","NA","NA","NA","NA","NA","2","legacy","1024","2","48000","-16","experiment","8","even","1210680","848261","1211768","NA","1214321","NA","NA","934228","848298","942819","931163","NA","1210680","NA","1219176","848298","1211742","1210671","1210592","NA","1214322","1218766","1214268","NA","944135","1210671","NA","NA","RESUME ","7","210290.0","9","1920"
"80","80","22286","22286","#3d3846","legacy","legacy","legacy","1","undefined","undefined","undefined","NA","1","NA","n","NA","9","0","9","0","9","NA","NA","0","0","0","0","NA","9","NA","9","0","9","9","9","NA","9","9","9","NA","0","9","NA","NA","Wed Aug 21 16:32:27 2024","NA","NA","The main experiment item","False","version_sorted_resumes_version3.osexp","C:\Users\yarbus\Desktop\Team Brownie","False","mono","False","18","no","white","no","yes","1080","unqualified_noPic_goodSort_lea.png","space","legacy","9","9","C:/Users/yarbus/Desktop/Team Brownie/participants/subject-8/subject-8b.csv","legacy","Melodramatic Milgram","4.0.13","0","n","NA","space","space","space","NA","NA","n","NA","12573.0","NA","8586","1315","3059","NA","NA","12573","NA","NA","NA","NA","NA","2","legacy","1024","2","48000","-16","experiment","8","even","1219267","848261","1220219","NA","1222783","NA","NA","934228","848298","942819","931163","NA","1219267","NA","1236390","848298","1220191","1219253","1219177","NA","1222784","1235358","1222719","NA","944135","1219253","NA","NA","RESUME ","8","222863.0","10","1920"
